हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
स्त्रीची गर्भावस्था संपून बालकाचा/बालकांचा जन्म होण्याच्या क्रियेला प्रसूती म्हणतात.	streechi garbhavastha sampun balakacha/balakancha janma honyachya kriyela prasuti mhantat.
दोन किंवा तीन पदांच्या माध्यमातून रती,वात्सल्य आणि भक्ती या प्रेमाच्या विविध छटांचे दर्शन घडवले जाते.	don kivva teen padanchya madhyamatun rati,vatsalya ani bhakti yaa premachya vividh chatanche darshan ghadavle jate.
गडकरी या नावाचे मराठी नाटकादी साहित्यासाठी अनेक पुरस्कार आहे. वेगवेगळ्या संस्था हे पुरस्कार देतात.	Gadkari yaa navache marathi natakadi sahityasathi anek puraskar ahet. Vegveglya sanstha he puraskar detat.
सध्या या विद्यापीठाचे कुलगुरू हे डॉ.	sadhya yaa vidyapithache kulguru he Dr.
भारतीय हवामानात वैविध्यता येण्यास मुख्यत्वे येथील भौगोलिक परिस्थिती जवाबदार आहे व हवामानाचे संपुर्ण नियंत्रण हे उत्तरेतील हिमालय व पश्चिमेतील थरच्या वाळवंटामुळे होते.	bhartiya havamanat vaividhyata yenyas mukhyatve yethil bhaugolik paristhiti javabdar ahe va havamanache sampurna niyantran he uttaratil Himalay va paschimetil Tharchya valvantamule hote.
शैव ग्रंथांनुसार विष्णूच्या उग्र नृसिंहावतारास काबूत आणण्यासाठी व त्याला नृसिंहावतारातून मूळ सौम्य रूपात परत आणण्यासाठी शंकराने शरभाचा अवतार घेतला.	Shaiv granthanusar Vishnuchya ugra Narasimhaavataras kaabut annyasathi va tyala Narsimhavataratun mul soumya rupat parat annyasathi Shankarane Sharabhacha avatar ghetla.
त्यानंतर मालवाहतूक केंद्र, अर्थात कार्गो हब, विकसवण्याचा आराखडा तयार करण्यात आला.	tyanantar malvahatuk kendra, arthat cargo hub, vikasvanyacha arakhada tayaar karnyat ala.
१९७१ च्या लोकसभा निवडणुकांमध्ये उत्तर प्रदेश राज्यातील मुरादाबाद लोकसभा मतदारसंघातून लोकसभेवर निवडून गेले.	1971 chya Loksabha nivadnukanmadhye Uttar Pradesh rajyatil Muradabad loksabha matadarsanghatun Loksabhevar nivadun gele.
तेंडुलकरच्या नावे एका वर्षात १००० धावा करण्याचा विक्रम आहे.	Tendulkarchya naave eka varshat 1000 dhava karnyacha vikram ahe.
बुधभूषण हा स्वतंत्र ग्रंथ नाही.	Budhbhushan ha swatantra grantha nahi.
देवाच्या नावाने राखून ठेवले असल्याने या वनाला वृक्षतोडीपासून एकप्रकारचे संरक्षण कवच असते.	Devachya navane rakhun thevle aslyane ya vanala vrukshatodipasun ekprakarche savrakshan kavach aste.
कॉपी राईट कायद्यात कॉपीराईट जाहीर न करता संबंधित कलाकृती लेखन अथवा छायाचित्राचा निर्माता मौन असेल तरी त्याचा कॉपीराईट आपोआप तयार होत असतो.	Copy right kaydyat copyright jaahir na karta sambandhit kalakruti lekhan athva chayachitracha nirmata moun asel tari tyacha copyright apoaap tayaar hot asto.
मोहिनी कडू यांनी या पुस्तकात इंदिरा गांधी यांच्या ११ चरित्रग्रंथाचे मूल्यमापन केले आहे.	Mohini Kadu yanni yaa pustakat Indira Gandhi yanchya 11 charitragranthache mulyamapan kele aahe.
पाली, संस्कृत या भाषांमध्ये तसेच अन्य भारतीय भाषांमध्ये आनंद या शब्दाचा अर्थ 'वरदान' असा होतो.	Pali, Sanskrit yaa bhashanmadhye tasech anya Bhartiya bhashanmadhye aanand yaa shabdacha artha 'vardaan' asa hoto.
ह्या भूमिकेसाठी तिला अनेक पुरस्कार मिळाले.	hya bhumikesathi tila anek puraskar milale.
बडे मियां छोटे मियांची कथा विल्यम शेक्सपियरच्या द कॉमेडी ऑफ एरर्स ह्या नाटकावर आधारित आहे.	Bade Miyaa Chote Miyaanchi katha William Shakespearchya The Comedy of Errors hya natakavar aadharit ahe.
हे स्तोत्र हिंदू धर्मांतील अनेकदा आरतीनंतर म्हणले जाते.	he stotra Hindu dharmatil anekdaa aartinantar mhanle jate.
फुले पसरून पुष्पासन तयार केले.	fule pasrun pushpaasan taiyaar kele.
सांगू कशी प्रिया मी	sangu kashi priya me
वारणा, दूधगंगा, हिरण्यकेशी, कृष्णा या नद्या जिल्ह्याच्या विविध भागातून वाहतात.	Varna, Dudhganga, Hiranyakeshi, Krushna yaa nadhya zillyachya vividh bhagatun vahatat.
गोलंदाजी करिअर सारांश:-	golandajii career saaransh:-
प्रत्येक पातळीच्या सुरुवातीला खेळाडूला आक्रमण करणाऱ्या झोम्बींचे प्रकार दाखवले जातात व त्यांच्याविरुद्ध लागणारी झाडे खेळाडूला निवडता येतात.	pratek patalichya suruvatila kheladula aakraman karnarya Zombinche prakaar dakhavle jatat va tyanchyavirudha lagnari zade kheladula nivadta yetat.
महाराष्ट्र शासनाच्या 'डॉ. आंबेडकर चरित्र साधने समिती'च्या फोटो अल्बम व पत्रव्यवहार खंड प्रकाशन समितीचे सदस्य होते.	Maharashtra shasanachya 'Dr. Ambedkar charitra sadhne samiti'chya photo album va patravyavahar khanda prakashan samitiche sadasya hote.
किशोरीताईंना हे कळल्यावर त्या रागावल्या.	Kishoritaina he kallyavar tya ragavlya.
साधना कामत या एक मराठी लेखिका आहेत.	Sadhna Kamat ya ek marathi lekhika ahet.
क्षेत्रफळ व्यापले असून येथे ४५.७ लाख लोकसंख्येची वस्ती आहे.	kshetraphal vyaple asun yethe 45.7 lakh loksankhyechi vasti ahe.
झाडाच्या सालीत लपलेले कीटक पकडण्यासाठी हा वेगाने झाडाच्या खोडात छिद्र पाडतो.	zaadachya saalit laplele kitak pakadnyasathi haa vegane zaadachya khodat chidra padto.
त्या वावरात गसाली भात केल्लो.	tya vavrat gasali bhat kello.
नंतर ती सम्राट चौकातील बुधवार पेठेत हलविण्यात आली.	nantar ti Samrat chowkatil Budhwar pethet halvinyat aali.
मानापमान (धैर्यधर)	manaapmaan (dhairyadhar)
जेवणं उरकायची असतील तर जेवलात का या प्रश्नाचं उत्तर सामवेदीत 'जिव्यासा हाय' असं येतं.'स' ने सुरु होणारे शब्द काही ठिकाणी 'ह' ने सुरु होतात.	jevana urkaychi astil tar jevlat ka yaa prashnacha uttar saamvedit 'jeevyasa hay' asa yet. 's'ne suru honare shabda kahi thikani 'h' ne suru hotat.
वेग किंवा स्थिती यांपैकी एकाची महत्तम अनिश्चितता माहित असल्यास दुसर्याची लघुत्तम अनिश्चितता हायझेनबर्गचा अनिश्चिततेचा सिद्धान्त वापरून काढता येते.	weg kivva stithi yanpaiki ekachi mahattam anishchitta mahit aslyas dusryachi laghuttam anishchitta Haisenberg anishchittecha siddhant vaprun kadhta yete.
गणेश यंत्राची पूजा केली व त्यानंतर ज्या ठिकाणी मातीची मूर्ती तयार केली होती, त्याच ठिकाणी येऊन विधिवत धार्मिक गणेश याग केला, व त्यानंतर ते सिद्ध श्रीयंत्र मंगलमूर्तीच्या पोटामध्ये सर्वांसमक्ष ठेवले.	Ganesh yantrachi puja keli va tyanantar jya thikani matichi murti tayaar keli hoti, tyach thikani yeun vidhivat dharmik Ganesh Yaag kela, va tyanantar te siddha Shreeyantra Mangalmurtichya potamadhye sarvansamaksha thevle.
मधुकरनगर गावात मुख्यतः वाडवळ समाजातील लोक पिढ्यानपिढ्या राहतात.	Madhukarnagar gaavat mukhyatah Vadval samajatil lok pidhyanpidhya rahatat.
असा भोंडला सुरेख बाई - इंदिरा कुलकर्णी	asa bhondla surekh bai - Indira Kulkarni
परंतु तेथे पोहोचण्यासाठी आपल्याला द्राविडी प्राणायाम करावा लागतो.	parantu tethe pohochnyasathi aplyala Dravidi pranayam karava lagto.
विनायकदिग्दर्शित ब्रम्हचारी या यशस्वी चित्रपटातील चांदेकरांची सर्व गाणी लोकप्रिय झाली.	Vinayakdigdarshit Brahmachari yaa yashasvi chitrapatatil Chandekaranchi sarva gaani lokpriya zaali.
रोझ व्हॅली ही पश्चिम बंगालमधील एक चिट फंड कंपनी होती.	Rose Valley hi paschim Bangalmadhil ek chit fund company hoti.
मध्यवर्ती दिल्ली	madhyavarti Delhi
मूर्ती-शिल्प-चित्र ते मराठी वाक्प्रचार ‘लंकेची पार्वती’ म्हटले जाते, अंग झाकण्याएवढे वस्त्रही जवळ नसलेल्या स्त्रीला उद्देशून.	murti-shilpa-chitra te marathi vakprachar 'lankechi parvati' mhantle jaate, anga zaknyaevdhe vastrahi jawal naslelya streela uddeshun.
विशेष आंतरराष्ट्रीय विनाशुल्क खुली मराठी दिवाळी अंक स्पर्धेमध्ये दिवाळी अंकातील साहित्य, वैविध्य, मांडणी आणि छपाईचा दर्जा या संदर्भात गुणवत्तेच्या निकषावर सर्वोत्कृष्ठ अंकांना वरील २५ प्रकारांमध्ये मान्यवर मराठी व्यक्तीच्या हस्ते गौरवपर स्मृतिचिन्ह जयसिंगपुरात प्रदान केली जातात.	vishesh antarrashtriya vinashulka khuli marathi diwali anka spardhemadhye diwali ankatil sahitya, vaividhya, maandani ani chapaicha darja yaa sandarbhat gunavattechya nikashavar sarvotkrushtha ankanna varil 25 prakaranmadhye manyavar marathi vyaktichya haste gauravpar smrutichinha Jaisinghpurat pradaan keli jatat.
यालाच भरताने लोकधर्मी वृत्ती-प्रवृत्ती असे म्हटले आहे.	yalach Bhartane lokdharmi vrutti-pravrutti ase mhantle ahe.
दरवाजाच्या आतल्या बाजूस घुमटी आहे.	darvajachya aatlya bajus ghumti ahe.
अलंकार, उपमा, उपमान हे येताच नाही.	alankaar, upama, upmaan he yetaach nahi.
पश्चिम मध्य रेल्वेद्वारे खालील प्रमुख रेल्वेगाड्या चालवल्या जातात.	paschim madhya railwaydvare khalil pramukh railwaygaadya chalavlya jatat.
रोज़ानी हिंदू	rojani hindu
विवाहबाह्य संबंध नवीन दृष्टिकोन	vivahbahya sambandh navin drushtikon
महाधम्म परिषद	mahadhamma parishad
बैठक खोलीचच्या पुढील बाजूस लाकडी तावदानात जुन्या पुस्तकांचे भरगच्च संग्रहालय आहे.	baithak kholichya pudhil bajus laakdi taavdaanat junya pustakanche bhargaccha sangrahalay ahe.
महाराष्ट्र साहित्य परिषदेच्या भोसरी शाखेतर्फे भोसरी येथे दोनदिवसीय विभागीय साहित्य संमेलन १-२ डिसेंबर २०१५ या काळात झाले.	Maharashtra Sahitya Parishadechya Bhosari shakhetarfe Bhosari yethe dondivasiya vibhagiya sahitya sammelan 1-2 December 2015 yaa kalat jhale.
जोशी क्लिनिक, पुणे भारतातील महाराष्ट्र राज्यातल्या पुणे शहरातील मोठे रुग्णालय आहे.	Joshi Clinic, Pune Bharatatil Maharashtra rajyatlya Pune shaharatil mothe rugnalay ahe.
देशमुख.	Deshmukh.
आज छाया निराला है रंग रे : कवी मुखराम शर्मा, संगीत केशवराव भोळे, चित्रपट श्रीकृष्ण सत्यभामा	aj chaya nirala hai rang re : kavi Mukhram Sharma, sangeet Keshavrao Bhole, chitrapat Shrikrushna Satyabhama
प्रस्तुत तंत्र साक्षात बुद्धी शक्तीने संबंधित असल्याने या सर्वांनाच या पाठ्याक्रमामुळे त्यांच्या बुद्धीच्या क्षमता विकसित होवून आपापल्या विषयात फायदा झाला.	prastut tantra sakshat buddhi shaktine sambandhit aslyane yaa sarvannach ya pathyakramamule tyanchya buddhichya kshamata vikasit houn apaplya vishayat fayda zaala.
ओस्लो ही नॉर्वेची राजधानी व सगळ्यात मोठे शहर आहे.	Oslo hi Norwaychi raajdhani va saglyat mothe shahar ahe.
पर्याय	paryay
शिवाय मुस्लिम धर्मीयांचा एक पीरसुद्धा गावात आहे.	shivay Muslim dharmiyancha ek peersudha gaavat ahe.
महुडा विधानसभा मतदारसंघ हा गुजरात विधानसभा निवडणुकीतील एक मतदारसंघ आहे. हा मतदारसंघ खेडा जिल्ह्यात आहे.	Mahuda Vidhansabha matadarsangha ha Gujrat Vidhansabha nivadnukitil ek matadarsangha ahe. Haa matadarsangha Kheda zillhyat ahe.
आठवणीतली गाणी.कॉम - "एकच प्याला" नाटकातील पदे (मराठी मजकूर)	athvanitli gaani.com - "ekach pyala" natakatil pade (marathi majkur)
मग पल्लवीच्या ओळींवर विविध जातीमध्ये नृत्त केले जाते.	mag Pallavichya olinvar vividh jaatimadhye nrutta kele jate.
सौदी अरेबियाचा भूतपूर्व राजा अब्दुल अजीज अल-सौद ह्याचे नाव ह्या विमानतळाला देण्यात आले आहे.	Saudi Arabiacha bhutpurva raaja Abdul Ajij Al-Saud hyache naav hya vimantalala denyat aale ahe.
वसंत कानेटकर लिखित नाटक आहे.	Vasant Kanetkar likhit natak ahe.
या भारतीय जनता पक्षाच्या सदस्य आहेत	yaa Bhartiya Janta pakshachya sadasya ahet
तिरुचिरापल्ली-श्रीरंगम् (तामिळानाडू)	Tiruchirappalli-Srirangam (Tamilnadu)
कालगांव (चिंचणी), तालुका कर्‍हाड, जिल्हा सातारा	Kalgaav (Chinchni), taluka Karhad, zilla Satara
त्यामुळे मंदिराचे खूप नुकसान झाले आहे.	tyamule mandirache khup nuksaan zaale ahe.
या फळांमध्ये चपट्या, गोलाकार, अर्ध्या ते एक ग्रॅम वजनाच्या एक ते दोन बिया असतात.	yaa falanmadhye chaptya, golakar, ardhya te ek gram vajnachya ek te don biyaa astat.
इट्रुस्कन राजे हे ज्यूपिटरचे प्रतिनिधी समजले जात.	Itruskan raaje he Jupitarche pratinidhi samajle jaat.
हा गळ्यामध्ये घालण्याचा दागिना आहे.	ha galyamadhye ghalnyacha daagina ahe.
माहितीसाठी वाचन	mahitisathi vachan
सर्वाधिक क्रिकेट मैदानांवर खेळाचा विक्रम: सचिन आत्तापर्यंत ५२ मैदानांवर कसोटी क्रिकेट खेळलेला आहे.	sarvadhik cricket maidananvar khelacha vikram: Sachin aataparyanta 52 maidananvar kasoti cricket khellela ahe.
राजगीर हेच २४ वे तीर्थंकर महावीर यांचे पहिले देशना स्थळ (जेथे उपदेश केला ती जागा)सुद्धा आहे.	Rajgir hech 24 ve tirthanker Mahaveer yanche pahile deshna sthal (jethe upadesh kela ti jaaga)sudha ahe.
यात बालवयातील मुलांसहित ते अगदी ७३ वर्षांपर्यंतच्या सभासदांचा देखील समावेश होता.	yaat balvayatil mulansahit te agdii 73 varshaparyantchya sabhasadancha dekhil samavesh hota.
तसेच कंपनी ‘निम्राना म्युझिक फौंडेशन’ पण चालविते.	tasech company 'Nimrana Music Foundation' pan chalvite.
आनंद कर्वे हे ॲश्डेन पारितोषिक विजेते शास्त्रज्ञ आहेत.	Anand Karve he Ashden paritoshik vijete shastradnya ahet.
संस्कृत भाषेवर अतिशय प्रेम, त्यामुळे बी.	sanskrit bhashevar atishay prem, tyamule B
यालाच इंग्रजीत ऱ्हुमॅटिझम म्हणतात.	yalach ingrajeet rheumatism mhantat.
त्यांच्यासोबत आलेले गवळी वाशीम जिल्ह्यातीलच वाघळूद आणि अमानी या गावांमध्ये स्थायिक झाले, असे भाटांकडे लिहून आहे.	tyanchyasobat aalele Gawli Washim zillyatilach Waghlud ani Amani yaa gavanmadhye sthayik zaale, ase Bhatankade lihun ahe.
सन १९६० ते १९८० या कालावधीत काशीनाथ हा मराठी नाट्य-चित्रसृष्टीचा पहिला सुपरस्टार होता, आणि त्याकाळात तो सर्वात मोठा पेड स्टार होता.	san 1960 te 1980 yaa kalavadhit Kashinath ha Marathi natya-chitrashrushticha pahila superstar hota, ani tyakalat to sarvat motha paid star hota.
कष्टमय जीवन जगायचे.	kashtamay jeevan jagayche.
त्या अंगठया आतील बाजूने एका धातूपट्टीने जोडलेल्या असून त्यावर तीक्ष्ण नखे लावलेली असतात.	tya angthya aatil bajune eka dhatupattine jodlelya asun tyavar tikshna nakhe lavleli astat.
त्यांनी वयाच्या अकराव्या वर्षी सर्कसमधे काम करण्यास सुरूवात केली होती.	tyani vayachya akravya varshi circusmadhe kaam karnyas suruvaat keli hoti.
बाबासाहेब आंबेडकरांनी १९२० ते १९३६ या कालावधीत केलेल्या काही निवडक भाषणांचा संग्रह विजय सुरवडे यांनी संपादित केला आहे.	Babasaheb Ambedkaranni 1920 te 1936 yaa kalavadhit kelelya kahi nivdak bhashanancha sangraha Vijay Survade yanni sampadit kela ahe.
मार्टिन यष्टिरक्षक आहे.	Martin yashtirakshak ahe.
ह्यांत पांढरा माका आणि पिवळा माका अशा दोन जाती आहेत.	hyat pandhra maka ani pivla maka asha don jaati ahet.
या अवतारामध्ये भगवान विष्णूंनी माशाचे रूप घेतले होते.	yaa avataramadhye Bhagwan Vishnuni mashache rup ghetle hote.
अशा प्रकारे आश्रमात शिजवलेल्या अन्नाच्या खर्चावर नियंत्रण ठेवले जाते.	asha prakare ashramat shijavlelya annachya kharchavar niyantran thevle jaate.
माहेराला जायचे म्हणून सकाळपासून राबतोय.	maherala jayche mhanun sakalpasun raabtoy.
ग्रीक भाषा लिहिण्याकरिता ह्या वर्णमालेचा वापर इ.	Greek bhasha lihinyakarita hya varnamalecha vapar i.
चांगदेव हे योगमार्गातील अधिकारी पुरुष होते.	Changdev he yogmargatil adhikari purush hote
शोरमा किंवा शॉर्‌मा दुबईत प्रचलित असलेला एक लेबनीज खाद्यपदार्थ आहे.	Shorma kivva Shaurma Dubait prachalit aslela ek Lebanese khadyapadartha ahe.
हे पंचतारांकित हॉटेल राष्ट्रीय व आंतरराष्ट्रीय सर्व पद्दतीचे उत्कृष्ट खाध्य पदार्थ पुरविते.	he panchatarankit hotel rashtriya va antarrashtriya sarva paddhatiche utkrushtha khadya padartha puravte.
१९२० व १९३० च्या दशकांदरम्यान सोव्हियेत संघ काळात ताश्कंदचे मोठ्या प्रमाणावर औद्योगिकरण करण्यात आले.	1920 va 1930 chya dashakandarmyan Soviet sangha kalat Tashkandche mothya pramanavar audyogikaran karnyat aale.
गांधी पर्व १ (दोन खंड, गॊविंद तळवलकर)	Gandhi parva 1 (don khanda, Govind Talwalkar)
हे शहर सिहोर जिल्ह्याचे प्रशासकीय केंद्र आहे.	he shahar Sihor zillyache prashaskiya kendra ahe.
११) लिंगायत हे कायकाकवे कैलास या स्वयंपूर्णतेचा संदेश देणारे एक अर्थशास्त्र आहे.	11) Lingayat he kaykakve Kailas yaa swayampurnatecha sandesh denare ek arthashastra ahe.
बुरुजावरुन तटबंदीच्या बाजूने चालत जातांना ही तटबंदी अनेक ठिकाणी तुटलेली दिसते.	burujavarun tatbandichya bajune chalat jatanna he tatbandi anek thikani tutleli diste.
जडाचे चिंतन करणारे मन जड बनते, स्त्रीचे चिंतन करणारे मन स्त्रैण बनते.	jadache chintan karnare mann jud bante, streeche chintan karnare mann straiin bante.
मत्स्य पुराणामध्ये भगवान विष्णूंच्या मत्स्य अवतार याबाबत कथा आहेत.	matsya puranamadhye bhagwan Vishnunchya matsya avatar yababat katha ahet.
दंडधार हा महाभारतातील हस्तिनापुराचा राजा धृतराष्ट्र व राणी गांधारी यांचा पुत्र व शंभर कौरव भावंडांपैकी एक भाऊ होता.	Dandadhaar haa Mahabharatatil Hastinapuracha raja Dhritrashtra va raani Gandhari yancha putra va shambhar kaurav bhavandanpaikii ek bhau hota.
या मठांतर्गत दिक्षा प्राप्त करणाऱ्या संन्याश्याच्या नावाअखेरीस सरस्वती/भारती/पुरी संप्रदाय असे नाव जोडले जाते.	yaa mathantargat diksha prapta karnarya sanyashyachya navaakheris Saraswati/Bharti/Puri sampraday ase naav jodle jaate.
अंजनवाडा अंजनवाडी अनखळी असोंदा असोला असोला आजरसोंडा आमदरी उंडेगाव उखळी उमरा औंढा नागनाथ कंजारा काकडदाभा काठोडा तांडा कुंडकर पिंपरी केळी कोंडशी बुद्रूक गढाळा गांगलवाडी गोजेगाव गोळेगाव चिंचोली चिमेगाव चोंडी शहापूर जडगाव जलालदाभा जलालपूर जवळा जामगव्हाण जोडपिंपरी टाकळगाव ढेगज तपोवन दुघाळा तामटी तांडा दरेगाव दुरचुना देवाळा देवाळा दौडगाव धार नांदखेडा नांदगाव नागझरी नागेशवाडी नालेगाव निशाणा पांगरा पार्डी सावळी पिंपळदरी पिंपळा पुरजळ पूर पोटा पोटा खुर्द फुलदाभा बेरुळा बोरजा ब्राह्मणवाडा भोसी माथा मार्डी मूर्तीजापूर सावंगी मेथा येडूत येळी येहळेगाव रांजाळा राजदरी राजापूर रामेश्वर रूपूर लक्ष्मणनाईक तांडा लांडाळा लाख लोहरा खुर्द लोहरा बुद्रूक वगरवाडी वगरवाडी तांडा वडचुना वडद वसई वाळकी शिरड शहापूर शिरला संमगानाईक तांडा सारंगवाडी साळणा सावरखेडा सावळी खूर्द सावळी बुद्रूक सिद्धेश्‍वर सुकापूर सुरेगाव सूरवाडी सेंदूरसना सोनवाडी हिवरखेडा हिवराजाटू ........	Anjanvada Anjanvadii Ankhali Asonda Asola Asola Aajarsonda Aamdari Undegaon Ukhli Umra Aundha Naagnath Kanjara Kakaddabha Kathoda Tanda Kundkar Pimpri Keli Kondshi Budruk Gadhala Gangalwadi Gojegaon Golegaon Chincholi Chimegaon Chondi Shahapur Jadgaon Jalaldabha Jalalpur Javla Jamgavhan Jodpimpri Takalgaon Dhegaj Tapovan Dughala Tamtii Tanda Daregaon Durchuna Devala Devala Daudgaon Dhar Nandkheda Nandgaon Naagzari Nageshwadi Nalegaon Nishana Pangra Pardi Savali Pimpaldari Pimpala Purjal Pur Pota Pota Khurd Phuldabha Berula Borja Brahmanvada Bhosi Matha Mardi Murtijapur Savangi Metha Yedut Yeli Yehalegaon Ranjala Raajdari Rajapur Rameshwar Rupur Laxmannaik Tanda Landala Lakh Lohra Khurd Lohra Budruk Vagarwadi Vagarwadi Tanda Vadchuna Vadad Vasai Valki Shirad Shahapur Shirla Samanganaik Tanda Sarangwadi Salna Savarkheda Savali Khurd Savali Budruk Siddheshwar Sukapur Suregaon Surwadi Sendursana Sonwadi Hivarkheda Hivrajatu …..
हे पात्र एका दुबईमधील व्यापार्‍याने मुंबईमधील एका वस्तुसंग्रहालयाला पाठविले होते.	he paatra eka Dubaimadhil vyaparyane Mumbaimadhil eka vastusangrahalayala pathavile hote.
ऋग्वेदाचे कविताबद्ध रूपांतर	Rugvedache kavitabaddha rupantar
गडावर पाणी नसल्याने वा सावलीसाठी झाड नसल्याने सोबत आणलेलं पाणी प्यायचं आणि आल्या वाटेने गड उतरावा.	gadavar paani naslyane vaa savalisathi zaad naslyane sobat anlela paani pyayacha aani aalya vatene gad utravaa.
एन लाइव या वाहिनीवरील एक प्रसिद्ध कार्यक्रम आहे.	N live ya vahinivaril ek prasidha karyakram ahe.
उ. अमजद अली खान	U. Amjad Ali Khan
मणिपूर मधील लोकटक तलाव	Manipur madhil loktak talav
भ्रूणवृद्धि होत असता त्याभोवती उल्ब नावाचे एक पातळ आवरण तयार होते.	bhrunvruddhi hot asta tyabhovati Ulb navache ek patal aavaran tayaar hote.
ज्ञानेश्वरांच्या काळात म्हणजे १२व्या शतकात प्रचलित असलेली प्राकृत ते आताची २१व्या शतकात बोलली जाणारी मराठी यात खूप फरक आहे.	Dnyaneshwaranchya kalat mhanje 12vya shatakat prachalit asleli praakrut te atachi 21vya shatakat bolli janari marathi yaat khup farak ahe.
त्यांनी इ.	tyani i.
ही कंपनी चित्रपट दिग्दर्शक नीरज पांडे आणि निर्मात्या शीतल भाटिया यांनी स्थापन केली आहे..	he company chitrapat digdarshak Neeraj Pande ani nirmatya Sheetal Bhatiya yanni sthapan keli ahe..
स्टीफन हॉकिंग	Stephan Hawking
कोल्हापुर पासून अंदाजे दहा किलोमीटर अंतरावर उंचगाव या ठिकाणी आहे.	Kolhapur pasun andaje daha kilometer antaravar Unchgaon ya thikani ahe.
’शायरी पुण्याची’ या संकलित उर्दू-गझल-संग्रहात संगीता जोशी यांच्या दोन उर्दू गझलांचा समावेश झालेला आहे.	Shayari Punyachi' yaa sankalit Urdu-Gazal-Sangrahat Sangeeta Joshi yanchya don Urdu Gazlancha samavesh jhalela ahe.
हे सन्यासी स्वतःला भारतमातेचे "संतान" म्हणजे अपत्य असे म्हणत असत.	he sanyasi swatahla Bharatmateche "santaan" mhanje apatya ase mhant asat.
१९५९ ते १९६९ अशी १० वर्षे त्या लेखनिक म्हणून काम करत होत्याच, पण १९६९मध्ये धुंडीराजशास्त्री वारल्यावरही महादेवकरांनी त्यांचे काम पुढे काही वर्षे सुरू ठेवले.	1959 te 1969 ashi 10 varshe tya lekhnik mhanun kaam karat hotyach, pan 1969madhye Dhundirajshastri varlyavarahi Mahadevakarani tyanche kaam pudhe kahi varshe suru thevle.
प्रसवपूर्व विकासाच्या विविध अवस्थांचा निर्देश सुलभ व्हावा म्हणून मानवी गर्भावस्था तीन तिमाहींच्या कालावधीत विभागली जाते.	prasavpurva vikasachya vividh avasthancha nirdesh sulabh vhava mhanun manavi garbhavastha teen timahinchya kalavadhit vibhagali jaate.
मराठ्यांनी त्याची उपयुक्तता पाहून आपल्या बाजूला वळवले.	marathyanni tyachi upyuktata pahun aaplya bajula valavle.
बुद्धिदाता श्रीगणेश (कवितासंग्रह)	buddhidaata Shriganesh (kavitasangrah)
