हेपेटाइटिस	hepatitis
संरक्षण	savrakshan
कवच	kavach
असते	aste
</s>	</s>
कॉपी	copy
राईट	right
कायद्यात	kaydyat
कॉपीराईट	copyright
जाहीर	jaahir
न	na
करता	karta
संबंधित	sambandhit
कलाकृती	kalakruti
लेखन	lekhan
अथवा	athva
छायाचित्राचा	chayachitracha
निर्माता	nirmata
मौन	moun
असेल	asel
तरी	tari
त्याचा	tyacha
कॉपीराईट	copyright
आपोआप	apoaap
तयार	tayaar
होत	hot
असतो	asto
</s>	</s>
मोहिनी	mohini
कडू	kadu
यांनी	yanni
या	yaa
पुस्तकात	pustakat
इंदिरा	indira
गांधी	gandhi
यांच्या	yanchya
११	11
चरित्रग्रंथाचे	charitragranthache
मूल्यमापन	mulyamapan
केले	kele
आहे	aahe
</s>	</s>
पाली	pali
संस्कृत	sanskrit
या	yaa
भाषांमध्ये	bhashanmadhye
तसेच	tasech
अन्य	anya
भारतीय	bhartiya
भाषांमध्ये	bhashanmadhye
आनंद	aanand
या	yaa
शब्दाचा	shabdacha
अर्थ	artha
वरदान	vardaan
असा	asa
होतो	hoto
</s>	</s>
ह्या	hya
भूमिकेसाठी	bhumikesathi
तिला	tila
अनेक	anek
पुरस्कार	puraskar
मिळाले	milale
</s>	</s>
बडे	bade
मियां	miyaa
छोटे	chote
मियांची	miyaanchi
कथा	katha
विल्यम	william
शेक्सपियरच्या	shakespearchya
द	the
कॉमेडी	comedy
ऑफ	of
एरर्स	errors
ह्या	hya
नाटकावर	natakavar
आधारित	aadharit
आहे	ahe
</s>	</s>
हे	he
स्तोत्र	stotra
हिंदू	hindu
धर्मांतील	dharmatil
अनेकदा	anekdaa
आरतीनंतर	aartinantar
म्हणले	mhanle
जाते	jate
</s>	</s>
फुले	fule
पसरून	pasrun
पुष्पासन	pushpaasan
तयार	taiyaar
केले	kele
</s>	</s>
सांगू	sangu
कशी	kashi
प्रिया	priya
मी	me
</s>	</s>
वारणा	varna
दूधगंगा	dudhganga
हिरण्यकेशी	hiranyakeshi
कृष्णा	krushna
या	yaa
नद्या	nadhya
जिल्ह्याच्या	zillyachya
विविध	vividh
भागातून	bhagatun
वाहतात	vahatat
</s>	</s>
गोलंदाजी	golandajii
करिअर	career
सारांश	saaransh
</s>	</s>
प्रत्येक	pratek
पातळीच्या	patalichya
सुरुवातीला	suruvatila
खेळाडूला	kheladula
आक्रमण	aakraman
करणाऱ्या	karnarya
झोम्बींचे	zombinche
प्रकार	prakaar
दाखवले	dakhavle
जातात	jatat
व	va
त्यांच्याविरुद्ध	tyanchyavirudha
लागणारी	lagnari
झाडे	zade
खेळाडूला	kheladula
निवडता	nivadta
येतात	yetat
</s>	</s>
महाराष्ट्र	maharashtra
शासनाच्या	shasanachya
डॉ	dr
आंबेडकर	ambedkar
चरित्र	charitra
साधने	sadhne
समिती'च्या	samiti'chya
फोटो	photo
अल्बम	album
व	va
पत्रव्यवहार	patravyavahar
खंड	khanda
प्रकाशन	prakashan
समितीचे	samitiche
सदस्य	sadasya
होते	hote
</s>	</s>
किशोरीताईंना	kishoritaina
हे	he
कळल्यावर	kallyavar
त्या	tya
रागावल्या	ragavlya
</s>	</s>
साधना	sadhna
कामत	kamat
या	ya
एक	ek
मराठी	marathi
लेखिका	lekhika
आहेत	ahet
</s>	</s>
क्षेत्रफळ	kshetraphal
व्यापले	vyaple
असून	asun
येथे	yethe
४५.७	45.7
लाख	lakh
लोकसंख्येची	loksankhyechi
वस्ती	vasti
आहे	ahe
</s>	</s>
झाडाच्या	zaadachya
सालीत	saalit
लपलेले	laplele
कीटक	kitak
पकडण्यासाठी	pakadnyasathi
हा	haa
वेगाने	vegane
झाडाच्या	zaadachya
खोडात	khodat
छिद्र	chidra
पाडतो	padto
</s>	</s>
त्या	tya
वावरात	vavrat
गसाली	gasali
भात	bhat
केल्लो	kello
</s>	</s>
नंतर	nantar
ती	ti
सम्राट	samrat
चौकातील	chowkatil
बुधवार	budhwar
पेठेत	pethet
हलविण्यात	halvinyat
आली	aali
</s>	</s>
मानापमान	manaapmaan
धैर्यधर	dhairyadhar
</s>	</s>
जेवणं	jevana
उरकायची	urkaychi
असतील	astil
तर	tar
जेवलात	jevlat
का	ka
या	yaa
प्रश्नाचं	prashnacha
उत्तर	uttar
सामवेदीत	saamvedit
जिव्यासा	jeevyasa
हाय	hay
असं	asa
येतं.'स' ने	yet. 's'ne
सुरु	suru
होणारे	honare
शब्द	shabda
काही	kahi
ठिकाणी	thikani
ह	h
ने	ne
सुरु	suru
होतात	hotat
</s>	</s>
वेग	weg
किंवा	kivva
स्थिती	stithi
यांपैकी	yanpaiki
एकाची	ekachi
महत्तम	mahattam
अनिश्चितता	anishchitta
माहित	mahit
असल्यास	aslyas
दुसर्याची	dusryachi
लघुत्तम	laghuttam
अनिश्चितता	anishchitta
हायझेनबर्गचा	haisenberg
अनिश्चिततेचा	anishchittecha
सिद्धान्त	siddhant
वापरून	vaprun
काढता	kadhta
येते	yete
</s>	</s>
गणेश	ganesh
यंत्राची	yantrachi
पूजा	puja
केली	keli
व	va
त्यानंतर	tyanantar
ज्या	jya
ठिकाणी	thikani
मातीची	matichi
मूर्ती	murti
तयार	tayaar
केली	keli
होती	hoti
त्याच	tyach
ठिकाणी	thikani
येऊन	yeun
विधिवत	vidhivat
धार्मिक	dharmik
गणेश	ganesh
याग	yaag
केला	kela
व	va
त्यानंतर	tyanantar
ते	te
सिद्ध	siddha
श्रीयंत्र	shreeyantra
मंगलमूर्तीच्या	mangalmurtichya
पोटामध्ये	potamadhye
सर्वांसमक्ष	sarvansamaksha
ठेवले	thevle
</s>	</s>
मधुकरनगर	madhukarnagar
गावात	gaavat
मुख्यतः	mukhyatah
वाडवळ	vadval
समाजातील	samajatil
लोक	lok
पिढ्यानपिढ्या	pidhyanpidhya
राहतात	rahatat
</s>	</s>
असा	asa
भोंडला	bhondla
सुरेख	surekh
बाई	bai
-	-
इंदिरा	indira
कुलकर्णी	kulkarni
</s>	</s>
परंतु	parantu
तेथे	tethe
पोहोचण्यासाठी	pohochnyasathi
आपल्याला	aplyala
द्राविडी	dravidi
प्राणायाम	pranayam
करावा	karava
लागतो	lagto
</s>	</s>
विनायकदिग्दर्शित	vinayakdigdarshit
ब्रम्हचारी	brahmachari
या	yaa
यशस्वी	yashasvi
चित्रपटातील	chitrapatatil
चांदेकरांची	chandekaranchi
सर्व	sarva
गाणी	gaani
लोकप्रिय	lokpriya
झाली	zaali
</s>	</s>
रोझ	rose
व्हॅली	valley
ही	hi
पश्चिम	paschim
बंगालमधील	bangalmadhil
एक	ek
चिट	chit
फंड	fund
कंपनी	company
होती	hoti
</s>	</s>
मध्यवर्ती	madhyavarti
दिल्ली	delhi
</s>	</s>
मूर्ती-शिल्प-चित्र	murti-shilpa-chitra
ते	te
मराठी	marathi
वाक्प्रचार	vakprachar
लंकेची	lankechi
पार्वती	parvati
म्हटले	mhantle
जाते	jaate
अंग	anga
झाकण्याएवढे	zaknyaevdhe
वस्त्रही	vastrahi
जवळ	jawal
नसलेल्या	naslelya
स्त्रीला	streela
उद्देशून	uddeshun
</s>	</s>
विशेष	vishesh
आंतरराष्ट्रीय	antarrashtriya
विनाशुल्क	vinashulka
खुली	khuli
मराठी	marathi
दिवाळी	diwali
अंक	anka
स्पर्धेमध्ये	spardhemadhye
दिवाळी	diwali
अंकातील	ankatil
साहित्य	sahitya
वैविध्य	vaividhya
मांडणी	maandani
आणि	ani
छपाईचा	chapaicha
दर्जा	darja
या	yaa
संदर्भात	sandarbhat
गुणवत्तेच्या	gunavattechya
निकषावर	nikashavar
सर्वोत्कृष्ठ	sarvotkrushtha
अंकांना	ankanna
वरील	varil
२५	25
प्रकारांमध्ये	prakaranmadhye
मान्यवर	manyavar
मराठी	marathi
व्यक्तीच्या	vyaktichya
हस्ते	haste
गौरवपर	gauravpar
स्मृतिचिन्ह	smrutichinha
जयसिंगपुरात	jaisinghpurat
प्रदान	pradaan
केली	keli
जातात	jatat
</s>	</s>
यालाच	yalach
भरताने	bhartane
लोकधर्मी	lokdharmi
वृत्ती-प्रवृत्ती	vrutti-pravrutti
असे	ase
म्हटले	mhantle
आहे	ahe
</s>	</s>
दरवाजाच्या	darvajachya
आतल्या	aatlya
बाजूस	bajus
घुमटी	ghumti
आहे	ahe
</s>	</s>
अलंकार	alankaar
उपमा	upama
उपमान	upmaan
हे	he
येताच	yetaach
नाही	nahi
</s>	</s>
पश्चिम	paschim
मध्य	madhya
रेल्वेद्वारे	railwaydvare
खालील	khalil
प्रमुख	pramukh
रेल्वेगाड्या	railwaygaadya
चालवल्या	chalavlya
जातात	jatat
</s>	</s>
रोज़ानी	rojani
हिंदू	hindu
</s>	</s>
विवाहबाह्य	vivahbahya
संबंध	sambandh
नवीन	navin
दृष्टिकोन	drushtikon
</s>	</s>
महाधम्म	mahadhamma
परिषद	parishad
</s>	</s>
बैठक	baithak
खोलीचच्या	kholichya
पुढील	pudhil
बाजूस	bajus
लाकडी	laakdi
तावदानात	taavdaanat
जुन्या	junya
पुस्तकांचे	pustakanche
भरगच्च	bhargaccha
संग्रहालय	sangrahalay
आहे	ahe
</s>	</s>
महाराष्ट्र	maharashtra
साहित्य	sahitya
परिषदेच्या	parishadechya
भोसरी	bhosari
शाखेतर्फे	shakhetarfe
भोसरी	bhosari
येथे	yethe
दोनदिवसीय	dondivasiya
विभागीय	vibhagiya
साहित्य	sahitya
संमेलन	sammelan
१-२	1-2
डिसेंबर	december
२०१५	2015
या	yaa
काळात	kalat
झाले	jhale
</s>	</s>
जोशी	joshi
क्लिनिक	clinic
पुणे	pune
भारतातील	bharatatil
महाराष्ट्र	maharashtra
राज्यातल्या	rajyatlya
पुणे	pune
शहरातील	shaharatil
मोठे	mothe
रुग्णालय	rugnalay
आहे	ahe
</s>	</s>
देशमुख	deshmukh
</s>	</s>
आज	aj
छाया	chaya
निराला	nirala
है	hai
रंग	rang
रे	re
:	:
कवी	kavi
मुखराम	mukhram
शर्मा	sharma
संगीत	sangeet
केशवराव	keshavrao
भोळे	bhole
चित्रपट	chitrapat
श्रीकृष्ण	shrikrushna
सत्यभामा	satyabhama
</s>	</s>
प्रस्तुत	prastut
तंत्र	tantra
साक्षात	sakshat
बुद्धी	buddhi
शक्तीने	shaktine
संबंधित	sambandhit
असल्याने	aslyane
या	yaa
सर्वांनाच	sarvannach
या	ya
पाठ्याक्रमामुळे	pathyakramamule
त्यांच्या	tyanchya
बुद्धीच्या	buddhichya
क्षमता	kshamata
विकसित	vikasit
होवून	houn
आपापल्या	apaplya
विषयात	vishayat
फायदा	fayda
झाला	zaala
</s>	</s>
ओस्लो	oslo
ही	hi
नॉर्वेची	norwaychi
राजधानी	raajdhani
व	va
सगळ्यात	saglyat
मोठे	mothe
शहर	shahar
आहे	ahe
</s>	</s>
पर्याय	paryay
</s>	</s>
शिवाय	shivay
मुस्लिम	muslim
धर्मीयांचा	dharmiyancha
एक	ek
पीरसुद्धा	peersudha
गावात	gaavat
आहे	ahe
</s>	</s>
महुडा	mahuda
विधानसभा	vidhansabha
मतदारसंघ	matadarsangha
हा	ha
गुजरात	gujrat
विधानसभा	vidhansabha
निवडणुकीतील	nivadnukitil
एक	ek
मतदारसंघ	matadarsangha
आहे	ahe
हा	haa
मतदारसंघ	matadarsangha
खेडा	kheda
जिल्ह्यात	zillhyat
आहे	ahe
</s>	</s>
आठवणीतली	athvanitli
गाणी.कॉम	gaani.com
-	-
एकच	ekach
प्याला	pyala
नाटकातील	natakatil
पदे	pade
मराठी	marathi
मजकूर	majkur
</s>	</s>
मग	mag
पल्लवीच्या	pallavichya
ओळींवर	olinvar
विविध	vividh
जातीमध्ये	jaatimadhye
नृत्त	nrutta
केले	kele
जाते	jate
</s>	</s>
सौदी	saudi
अरेबियाचा	arabiacha
भूतपूर्व	bhutpurva
राजा	raaja
अब्दुल	abdul
अजीज	ajij
अल-सौद	al-saud
ह्याचे	hyache
नाव	naav
ह्या	hya
विमानतळाला	vimantalala
देण्यात	denyat
आले	aale
आहे	ahe
</s>	</s>
वसंत	vasant
कानेटकर	kanetkar
लिखित	likhit
नाटक	natak
आहे	ahe
</s>	</s>
या	yaa
भारतीय	bhartiya
जनता	janta
पक्षाच्या	pakshachya
सदस्य	sadasya
आहेत	ahet
</s>	</s>
तिरुचिरापल्ली-श्रीरंगम्	tiruchirappalli-srirangam
तामिळानाडू	tamilnadu
</s>	</s>
कालगांव	kalgaav
चिंचणी	chinchni
तालुका	taluka
कर्‍हाड	karhad
जिल्हा	zilla
सातारा	satara
</s>	</s>
त्यामुळे	tyamule
मंदिराचे	mandirache
खूप	khup
नुकसान	nuksaan
झाले	zaale
आहे	ahe
</s>	</s>
या	yaa
फळांमध्ये	falanmadhye
चपट्या	chaptya
गोलाकार	golakar
अर्ध्या	ardhya
ते	te
एक	ek
ग्रॅम	gram
वजनाच्या	vajnachya
एक	ek
ते	te
दोन	don
बिया	biyaa
असतात	astat
</s>	</s>
इट्रुस्कन	itruskan
राजे	raaje
हे	he
ज्यूपिटरचे	jupitarche
प्रतिनिधी	pratinidhi
समजले	samajle
जात	jaat
</s>	</s>
हा	ha
गळ्यामध्ये	galyamadhye
घालण्याचा	ghalnyacha
दागिना	daagina
आहे	ahe
</s>	</s>
माहितीसाठी	mahitisathi
वाचन	vachan
</s>	</s>
सर्वाधिक	sarvadhik
क्रिकेट	cricket
मैदानांवर	maidananvar
खेळाचा	khelacha
विक्रम	vikram
सचिन	sachin
आत्तापर्यंत	aataparyanta
५२	52
मैदानांवर	maidananvar
कसोटी	kasoti
क्रिकेट	cricket
खेळलेला	khellela
आहे	ahe
</s>	</s>
राजगीर	rajgir
हेच	hech
२४	24
वे	ve
तीर्थंकर	tirthanker
महावीर	mahaveer
यांचे	yanche
पहिले	pahile
देशना	deshna
स्थळ	sthal
जेथे	jethe
उपदेश	upadesh
केला	kela
ती	ti
जागा)सुद्धा	jaaga)sudha
आहे	ahe
</s>	</s>
यात	yaat
बालवयातील	balvayatil
मुलांसहित	mulansahit
ते	te
अगदी	agdii
७३	73
वर्षांपर्यंतच्या	varshaparyantchya
सभासदांचा	sabhasadancha
देखील	dekhil
समावेश	samavesh
होता	hota
</s>	</s>
तसेच	tasech
कंपनी	company
निम्राना	nimrana
म्युझिक	music
फौंडेशन	foundation
पण	pan
चालविते	chalvite
</s>	</s>
आनंद	anand
कर्वे	karve
हे	he
ॲश्डेन	ashden
पारितोषिक	paritoshik
विजेते	vijete
शास्त्रज्ञ	shastradnya
आहेत	ahet
</s>	</s>
संस्कृत	sanskrit
भाषेवर	bhashevar
अतिशय	atishay
प्रेम	prem
त्यामुळे	tyamule
बी	b
</s>	</s>
यालाच	yalach
इंग्रजीत	ingrajeet
ऱ्हुमॅटिझम	rheumatism
म्हणतात	mhantat
</s>	</s>
त्यांच्यासोबत	tyanchyasobat
आलेले	aalele
गवळी	gawli
वाशीम	washim
जिल्ह्यातीलच	zillyatilach
वाघळूद	waghlud
आणि	ani
अमानी	amani
या	yaa
गावांमध्ये	gavanmadhye
स्थायिक	sthayik
झाले	zaale
असे	ase
भाटांकडे	bhatankade
लिहून	lihun
आहे	ahe
</s>	</s>
सन	san
१९६०	1960
ते	te
१९८०	1980
या	yaa
कालावधीत	kalavadhit
काशीनाथ	kashinath
हा	ha
मराठी	marathi
नाट्य-चित्रसृष्टीचा	natya-chitrashrushticha
पहिला	pahila
सुपरस्टार	superstar
होता	hota
आणि	ani
त्याकाळात	tyakalat
तो	to
सर्वात	sarvat
मोठा	motha
पेड	paid
स्टार	star
होता	hota
</s>	</s>
कष्टमय	kashtamay
जीवन	jeevan
जगायचे	jagayche
</s>	</s>
त्या	tya
अंगठया	angthya
आतील	aatil
बाजूने	bajune
एका	eka
धातूपट्टीने	dhatupattine
जोडलेल्या	jodlelya
असून	asun
त्यावर	tyavar
तीक्ष्ण	tikshna
नखे	nakhe
लावलेली	lavleli
असतात	astat
</s>	</s>
त्यांनी	tyani
वयाच्या	vayachya
अकराव्या	akravya
वर्षी	varshi
सर्कसमधे	circusmadhe
काम	kaam
करण्यास	karnyas
सुरूवात	suruvaat
केली	keli
होती	hoti
</s>	</s>
बाबासाहेब	babasaheb
आंबेडकरांनी	ambedkaranni
१९२०	1920
ते	te
१९३६	1936
या	yaa
कालावधीत	kalavadhit
केलेल्या	kelelya
काही	kahi
निवडक	nivdak
भाषणांचा	bhashanancha
संग्रह	sangraha
विजय	vijay
सुरवडे	survade
यांनी	yanni
संपादित	sampadit
केला	kela
आहे	ahe
</s>	</s>
मार्टिन	martin
यष्टिरक्षक	yashtirakshak
आहे	ahe
</s>	</s>
ह्यांत	hyat
पांढरा	pandhra
माका	maka
आणि	ani
पिवळा	pivla
माका	maka
अशा	asha
दोन	don
जाती	jaati
आहेत	ahet
</s>	</s>
या	yaa
अवतारामध्ये	avataramadhye
भगवान	bhagwan
विष्णूंनी	vishnuni
माशाचे	mashache
रूप	rup
घेतले	ghetle
होते	hote
</s>	</s>
अशा	asha
प्रकारे	prakare
आश्रमात	ashramat
शिजवलेल्या	shijavlelya
अन्नाच्या	annachya
खर्चावर	kharchavar
नियंत्रण	niyantran
ठेवले	thevle
जाते	jaate
</s>	</s>
माहेराला	maherala
जायचे	jayche
म्हणून	mhanun
सकाळपासून	sakalpasun
राबतोय	raabtoy
</s>	</s>
ग्रीक	greek
भाषा	bhasha
लिहिण्याकरिता	lihinyakarita
ह्या	hya
वर्णमालेचा	varnamalecha
वापर	vapar
इ	i
</s>	</s>
चांगदेव	changdev
हे	he
योगमार्गातील	yogmargatil
अधिकारी	adhikari
पुरुष	purush
होते	hote
</s>	</s>
शोरमा	shorma
किंवा	kivva
शॉर्‌मा	shaurma
दुबईत	dubait
प्रचलित	prachalit
असलेला	aslela
एक	ek
लेबनीज	lebanese
खाद्यपदार्थ	khadyapadartha
आहे	ahe
</s>	</s>
हे	he
पंचतारांकित	panchatarankit
हॉटेल	hotel
राष्ट्रीय	rashtriya
व	va
आंतरराष्ट्रीय	antarrashtriya
सर्व	sarva
पद्दतीचे	paddhatiche
उत्कृष्ट	utkrushtha
खाध्य	khadya
पदार्थ	padartha
पुरविते	puravte
</s>	</s>
१९२०	1920
व	va
१९३०	1930
च्या	chya
दशकांदरम्यान	dashakandarmyan
सोव्हियेत	soviet
संघ	sangha
काळात	kalat
ताश्कंदचे	tashkandche
मोठ्या	mothya
प्रमाणावर	pramanavar
औद्योगिकरण	audyogikaran
करण्यात	karnyat
आले	aale
</s>	</s>
गांधी	gandhi
पर्व	parva
१	1
दोन	don
खंड	khanda
गॊविंद	govind
तळवलकर	talwalkar
</s>	</s>
हे	he
शहर	shahar
सिहोर	sihor
जिल्ह्याचे	zillyache
प्रशासकीय	prashaskiya
केंद्र	kendra
आहे	ahe
</s>	</s>
११	11
लिंगायत	lingayat
हे	he
कायकाकवे	kaykakve
कैलास	kailas
या	yaa
स्वयंपूर्णतेचा	swayampurnatecha
संदेश	sandesh
देणारे	denare
एक	ek
अर्थशास्त्र	arthashastra
आहे	ahe
</s>	</s>
बुरुजावरुन	burujavarun
तटबंदीच्या	tatbandichya
बाजूने	bajune
चालत	chalat
जातांना	jatanna
ही	he
तटबंदी	tatbandi
अनेक	anek
ठिकाणी	thikani
तुटलेली	tutleli
दिसते	diste
</s>	</s>
जडाचे	jadache
चिंतन	chintan
करणारे	karnare
मन	mann
जड	jud
बनते	bante
स्त्रीचे	streeche
चिंतन	chintan
करणारे	karnare
मन	mann
स्त्रैण	straiin
बनते	bante
</s>	</s>
मत्स्य	matsya
पुराणामध्ये	puranamadhye
भगवान	bhagwan
विष्णूंच्या	vishnunchya
मत्स्य	matsya
अवतार	avatar
याबाबत	yababat
कथा	katha
आहेत	ahet
</s>	</s>
दंडधार	dandadhaar
हा	haa
महाभारतातील	mahabharatatil
हस्तिनापुराचा	hastinapuracha
राजा	raja
धृतराष्ट्र	dhritrashtra
व	va
राणी	raani
गांधारी	gandhari
यांचा	yancha
पुत्र	putra
व	va
शंभर	shambhar
कौरव	kaurav
भावंडांपैकी	bhavandanpaikii
एक	ek
भाऊ	bhau
होता	hota
</s>	</s>
या	yaa
मठांतर्गत	mathantargat
दिक्षा	diksha
प्राप्त	prapta
करणाऱ्या	karnarya
संन्याश्याच्या	sanyashyachya
नावाअखेरीस	navaakheris
सरस्वती/भारती/पुरी	saraswati/bharti/puri
संप्रदाय	sampraday
असे	ase
नाव	naav
जोडले	jodle
जाते	jaate
</s>	</s>
अंजनवाडा	anjanvada
अंजनवाडी	anjanvadii
अनखळी	ankhali
असोंदा	asonda
असोला	asola
असोला	asola
आजरसोंडा	aajarsonda
आमदरी	aamdari
उंडेगाव	undegaon
उखळी	ukhli
उमरा	umra
औंढा	aundha
नागनाथ	naagnath
कंजारा	kanjara
काकडदाभा	kakaddabha
काठोडा	kathoda
तांडा	tanda
कुंडकर	kundkar
पिंपरी	pimpri
केळी	keli
कोंडशी	kondshi
बुद्रूक	budruk
गढाळा	gadhala
गांगलवाडी	gangalwadi
गोजेगाव	gojegaon
गोळेगाव	golegaon
चिंचोली	chincholi
चिमेगाव	chimegaon
चोंडी	chondi
शहापूर	shahapur
जडगाव	jadgaon
जलालदाभा	jalaldabha
जलालपूर	jalalpur
जवळा	javla
जामगव्हाण	jamgavhan
जोडपिंपरी	jodpimpri
टाकळगाव	takalgaon
ढेगज	dhegaj
तपोवन	tapovan
दुघाळा	dughala
तामटी	tamtii
तांडा	tanda
दरेगाव	daregaon
दुरचुना	durchuna
