हेपेटाइटिस-	hepatitis-
ग्रंथ	grantha
नाही.	nahi.
</s>	</s>
देवाच्या	Devachya
नावाने	navane
राखून	rakhun
ठेवले	thevle
असल्याने	aslyane
या	ya
वनाला	vanala
वृक्षतोडीपासून	vrukshatodipasun
एकप्रकारचे	ekprakarche
संरक्षण	savrakshan
कवच	kavach
असते.	aste.
</s>	</s>
कॉपी	Copy
राईट	right
कायद्यात	kaydyat
कॉपीराईट	copyright
जाहीर	jaahir
न	na
करता	karta
संबंधित	sambandhit
कलाकृती	kalakruti
लेखन	lekhan
अथवा	athva
छायाचित्राचा	chayachitracha
निर्माता	nirmata
मौन	moun
असेल	asel
तरी	tari
त्याचा	tyacha
कॉपीराईट	copyright
आपोआप	apoaap
तयार	tayaar
होत	hot
असतो.	asto.
</s>	</s>
मोहिनी	Mohini
कडू	Kadu
यांनी	yanni
या	yaa
पुस्तकात	pustakat
इंदिरा	Indira
गांधी	Gandhi
यांच्या	yanchya
११	11
चरित्रग्रंथाचे	charitragranthache
मूल्यमापन	mulyamapan
केले	kele
आहे.	aahe.
</s>	</s>
पाली,	Pali,
संस्कृत	Sanskrit
या	yaa
भाषांमध्ये	bhashanmadhye
तसेच	tasech
अन्य	anya
भारतीय	Bhartiya
भाषांमध्ये	bhashanmadhye
आनंद	aanand
या	yaa
शब्दाचा	shabdacha
अर्थ	artha
'वरदान'	'vardaan'
असा	asa
होतो.	hoto.
</s>	</s>
ह्या	hya
भूमिकेसाठी	bhumikesathi
तिला	tila
अनेक	anek
पुरस्कार	puraskar
मिळाले.	milale.
</s>	</s>
बडे	Bade
मियां	Miyaa
छोटे	Chote
मियांची	Miyaanchi
कथा	katha
विल्यम	William
शेक्सपियरच्या	Shakespearchya
द	The
कॉमेडी	Comedy
ऑफ	of
एरर्स	Errors
ह्या	hya
नाटकावर	natakavar
आधारित	aadharit
आहे.	ahe.
</s>	</s>
हे	he
स्तोत्र	stotra
हिंदू	Hindu
धर्मांतील	dharmatil
अनेकदा	anekdaa
आरतीनंतर	aartinantar
म्हणले	mhanle
जाते.	jate.
</s>	</s>
फुले	fule
पसरून	pasrun
पुष्पासन	pushpaasan
तयार	taiyaar
केले.	kele.
</s>	</s>
सांगू	sangu
कशी	kashi
प्रिया	priya
मी	me
</s>	</s>
वारणा,	Varna,
दूधगंगा,	Dudhganga,
हिरण्यकेशी,	Hiranyakeshi,
कृष्णा	Krushna
या	yaa
नद्या	nadhya
जिल्ह्याच्या	zillyachya
विविध	vividh
भागातून	bhagatun
वाहतात.	vahatat.
</s>	</s>
गोलंदाजी	golandajii
करिअर	career
सारांश:-	saaransh:-
</s>	</s>
प्रत्येक	pratek
पातळीच्या	patalichya
सुरुवातीला	suruvatila
खेळाडूला	kheladula
आक्रमण	aakraman
करणाऱ्या	karnarya
झोम्बींचे	Zombinche
प्रकार	prakaar
दाखवले	dakhavle
जातात	jatat
व	va
त्यांच्याविरुद्ध	tyanchyavirudha
लागणारी	lagnari
झाडे	zade
खेळाडूला	kheladula
निवडता	nivadta
येतात.	yetat.
</s>	</s>
महाराष्ट्र	Maharashtra
शासनाच्या	shasanachya
'डॉ.	'Dr.
आंबेडकर	Ambedkar
चरित्र	charitra
साधने	sadhne
समिती'च्या	samiti'chya
फोटो	photo
अल्बम	album
व	va
पत्रव्यवहार	patravyavahar
खंड	khanda
प्रकाशन	prakashan
समितीचे	samitiche
सदस्य	sadasya
होते.	hote.
</s>	</s>
किशोरीताईंना	Kishoritaina
हे	he
कळल्यावर	kallyavar
त्या	tya
रागावल्या.	ragavlya.
</s>	</s>
साधना	Sadhna
कामत	Kamat
या	ya
एक	ek
मराठी	marathi
लेखिका	lekhika
आहेत.	ahet.
</s>	</s>
क्षेत्रफळ	kshetraphal
व्यापले	vyaple
असून	asun
येथे	yethe
४५.७	45.7
लाख	lakh
लोकसंख्येची	loksankhyechi
वस्ती	vasti
आहे.	ahe.
</s>	</s>
झाडाच्या	zaadachya
सालीत	saalit
लपलेले	laplele
कीटक	kitak
पकडण्यासाठी	pakadnyasathi
हा	haa
वेगाने	vegane
झाडाच्या	zaadachya
खोडात	khodat
छिद्र	chidra
पाडतो.	padto.
</s>	</s>
त्या	tya
वावरात	vavrat
गसाली	gasali
भात	bhat
केल्लो.	kello.
</s>	</s>
नंतर	nantar
ती	ti
सम्राट	Samrat
चौकातील	chowkatil
बुधवार	Budhwar
पेठेत	pethet
हलविण्यात	halvinyat
आली.	aali.
</s>	</s>
मानापमान	manaapmaan
(धैर्यधर)	(dhairyadhar)
</s>	</s>
जेवणं	jevana
उरकायची	urkaychi
असतील	astil
तर	tar
जेवलात	jevlat
का	ka
या	yaa
प्रश्नाचं	prashnacha
उत्तर	uttar
सामवेदीत	saamvedit
'जिव्यासा	'jeevyasa
हाय'	hay'
असं	asa
येतं.'स' ने	yet. 's'ne
सुरु	suru
होणारे	honare
शब्द	shabda
काही	kahi
ठिकाणी	thikani
'ह'	'h'
ने	ne
सुरु	suru
होतात.	hotat.
</s>	</s>
वेग	weg
किंवा	kivva
स्थिती	stithi
यांपैकी	yanpaiki
एकाची	ekachi
महत्तम	mahattam
अनिश्चितता	anishchitta
माहित	mahit
असल्यास	aslyas
दुसर्याची	dusryachi
लघुत्तम	laghuttam
अनिश्चितता	anishchitta
हायझेनबर्गचा	Haisenberg
अनिश्चिततेचा	anishchittecha
सिद्धान्त	siddhant
वापरून	vaprun
काढता	kadhta
येते.	yete.
</s>	</s>
गणेश	Ganesh
यंत्राची	yantrachi
पूजा	puja
केली	keli
व	va
त्यानंतर	tyanantar
ज्या	jya
ठिकाणी	thikani
मातीची	matichi
मूर्ती	murti
तयार	tayaar
केली	keli
होती,	hoti,
त्याच	tyach
ठिकाणी	thikani
येऊन	yeun
विधिवत	vidhivat
धार्मिक	dharmik
गणेश	Ganesh
याग	Yaag
केला,	kela,
व	va
त्यानंतर	tyanantar
ते	te
सिद्ध	siddha
श्रीयंत्र	Shreeyantra
मंगलमूर्तीच्या	Mangalmurtichya
पोटामध्ये	potamadhye
सर्वांसमक्ष	sarvansamaksha
ठेवले.	thevle.
</s>	</s>
मधुकरनगर	Madhukarnagar
गावात	gaavat
मुख्यतः	mukhyatah
वाडवळ	Vadval
समाजातील	samajatil
लोक	lok
पिढ्यानपिढ्या	pidhyanpidhya
राहतात.	rahatat.
</s>	</s>
असा	asa
भोंडला	bhondla
सुरेख	surekh
बाई	bai
-	-
इंदिरा	Indira
कुलकर्णी	Kulkarni
</s>	</s>
परंतु	parantu
तेथे	tethe
पोहोचण्यासाठी	pohochnyasathi
आपल्याला	aplyala
द्राविडी	Dravidi
प्राणायाम	pranayam
करावा	karava
लागतो.	lagto.
</s>	</s>
विनायकदिग्दर्शित	Vinayakdigdarshit
ब्रम्हचारी	Brahmachari
या	yaa
यशस्वी	yashasvi
चित्रपटातील	chitrapatatil
चांदेकरांची	Chandekaranchi
सर्व	sarva
गाणी	gaani
लोकप्रिय	lokpriya
झाली.	zaali.
</s>	</s>
रोझ	Rose
व्हॅली	Valley
ही	hi
पश्चिम	paschim
बंगालमधील	Bangalmadhil
एक	ek
चिट	chit
फंड	fund
कंपनी	company
होती.	hoti.
</s>	</s>
मध्यवर्ती	madhyavarti
दिल्ली	Delhi
</s>	</s>
मूर्ती-शिल्प-चित्र	murti-shilpa-chitra
ते	te
मराठी	marathi
वाक्प्रचार	vakprachar
‘लंकेची	'lankechi
पार्वती’	parvati'
म्हटले	mhantle
जाते,	jaate,
अंग	anga
झाकण्याएवढे	zaknyaevdhe
वस्त्रही	vastrahi
जवळ	jawal
नसलेल्या	naslelya
स्त्रीला	streela
उद्देशून.	uddeshun.
</s>	</s>
विशेष	vishesh
आंतरराष्ट्रीय	antarrashtriya
विनाशुल्क	vinashulka
खुली	khuli
मराठी	marathi
दिवाळी	diwali
अंक	anka
स्पर्धेमध्ये	spardhemadhye
दिवाळी	diwali
अंकातील	ankatil
साहित्य,	sahitya,
वैविध्य,	vaividhya,
मांडणी	maandani
आणि	ani
छपाईचा	chapaicha
दर्जा	darja
या	yaa
संदर्भात	sandarbhat
गुणवत्तेच्या	gunavattechya
निकषावर	nikashavar
सर्वोत्कृष्ठ	sarvotkrushtha
अंकांना	ankanna
वरील	varil
२५	25
प्रकारांमध्ये	prakaranmadhye
मान्यवर	manyavar
मराठी	marathi
व्यक्तीच्या	vyaktichya
हस्ते	haste
गौरवपर	gauravpar
स्मृतिचिन्ह	smrutichinha
जयसिंगपुरात	Jaisinghpurat
प्रदान	pradaan
केली	keli
जातात.	jatat.
</s>	</s>
यालाच	yalach
भरताने	Bhartane
लोकधर्मी	lokdharmi
वृत्ती-प्रवृत्ती	vrutti-pravrutti
असे	ase
म्हटले	mhantle
आहे.	ahe.
</s>	</s>
दरवाजाच्या	darvajachya
आतल्या	aatlya
बाजूस	bajus
घुमटी	ghumti
आहे.	ahe.
</s>	</s>
अलंकार,	alankaar,
उपमा,	upama,
उपमान	upmaan
हे	he
येताच	yetaach
नाही.	nahi.
</s>	</s>
पश्चिम	paschim
मध्य	madhya
रेल्वेद्वारे	railwaydvare
खालील	khalil
प्रमुख	pramukh
रेल्वेगाड्या	railwaygaadya
चालवल्या	chalavlya
जातात.	jatat.
</s>	</s>
रोज़ानी	rojani
हिंदू	hindu
</s>	</s>
विवाहबाह्य	vivahbahya
संबंध	sambandh
नवीन	navin
दृष्टिकोन	drushtikon
</s>	</s>
महाधम्म	mahadhamma
परिषद	parishad
</s>	</s>
बैठक	baithak
खोलीचच्या	kholichya
पुढील	pudhil
बाजूस	bajus
लाकडी	laakdi
तावदानात	taavdaanat
जुन्या	junya
पुस्तकांचे	pustakanche
भरगच्च	bhargaccha
संग्रहालय	sangrahalay
आहे.	ahe.
</s>	</s>
महाराष्ट्र	Maharashtra
साहित्य	Sahitya
परिषदेच्या	Parishadechya
भोसरी	Bhosari
शाखेतर्फे	shakhetarfe
भोसरी	Bhosari
येथे	yethe
दोनदिवसीय	dondivasiya
विभागीय	vibhagiya
साहित्य	sahitya
संमेलन	sammelan
१-२	1-2
डिसेंबर	December
२०१५	2015
या	yaa
काळात	kalat
झाले.	jhale.
</s>	</s>
जोशी	Joshi
क्लिनिक,	Clinic,
पुणे	Pune
भारतातील	Bharatatil
महाराष्ट्र	Maharashtra
राज्यातल्या	rajyatlya
पुणे	Pune
शहरातील	shaharatil
मोठे	mothe
रुग्णालय	rugnalay
आहे.	ahe.
</s>	</s>
देशमुख.	Deshmukh.
</s>	</s>
आज	aj
छाया	chaya
निराला	nirala
है	hai
रंग	rang
रे	re
:	:
कवी	kavi
मुखराम	Mukhram
शर्मा,	Sharma,
संगीत	sangeet
केशवराव	Keshavrao
भोळे,	Bhole,
चित्रपट	chitrapat
श्रीकृष्ण	Shrikrushna
सत्यभामा	Satyabhama
</s>	</s>
प्रस्तुत	prastut
तंत्र	tantra
साक्षात	sakshat
बुद्धी	buddhi
शक्तीने	shaktine
संबंधित	sambandhit
असल्याने	aslyane
या	yaa
सर्वांनाच	sarvannach
या	ya
पाठ्याक्रमामुळे	pathyakramamule
त्यांच्या	tyanchya
बुद्धीच्या	buddhichya
क्षमता	kshamata
विकसित	vikasit
होवून	houn
आपापल्या	apaplya
विषयात	vishayat
फायदा	fayda
झाला.	zaala.
</s>	</s>
ओस्लो	Oslo
ही	hi
नॉर्वेची	Norwaychi
राजधानी	raajdhani
व	va
सगळ्यात	saglyat
मोठे	mothe
शहर	shahar
आहे.	ahe.
</s>	</s>
पर्याय	paryay
</s>	</s>
शिवाय	shivay
मुस्लिम	Muslim
धर्मीयांचा	dharmiyancha
एक	ek
पीरसुद्धा	peersudha
गावात	gaavat
आहे.	ahe.
</s>	</s>
महुडा	Mahuda
विधानसभा	Vidhansabha
मतदारसंघ	matadarsangha
हा	ha
गुजरात	Gujrat
विधानसभा	Vidhansabha
निवडणुकीतील	nivadnukitil
एक	ek
मतदारसंघ	matadarsangha
आहे.	ahe.
हा	Haa
मतदारसंघ	matadarsangha
खेडा	Kheda
जिल्ह्यात	zillhyat
आहे.	ahe.
</s>	</s>
आठवणीतली	athvanitli
गाणी.कॉम	gaani.com
-	-
"एकच	"ekach
प्याला"	pyala"
नाटकातील	natakatil
पदे	pade
(मराठी	(marathi
मजकूर)	majkur)
</s>	</s>
मग	mag
पल्लवीच्या	Pallavichya
ओळींवर	olinvar
विविध	vividh
जातीमध्ये	jaatimadhye
नृत्त	nrutta
केले	kele
जाते.	jate.
</s>	</s>
सौदी	Saudi
अरेबियाचा	Arabiacha
भूतपूर्व	bhutpurva
राजा	raaja
अब्दुल	Abdul
अजीज	Ajij
अल-सौद	Al-Saud
ह्याचे	hyache
नाव	naav
ह्या	hya
विमानतळाला	vimantalala
देण्यात	denyat
आले	aale
आहे.	ahe.
</s>	</s>
वसंत	Vasant
कानेटकर	Kanetkar
लिखित	likhit
नाटक	natak
आहे.	ahe.
</s>	</s>
या	yaa
भारतीय	Bhartiya
जनता	Janta
पक्षाच्या	pakshachya
सदस्य	sadasya
आहेत	ahet
</s>	</s>
तिरुचिरापल्ली-श्रीरंगम्	Tiruchirappalli-Srirangam
(तामिळानाडू)	(Tamilnadu)
</s>	</s>
कालगांव	Kalgaav
(चिंचणी),	(Chinchni),
तालुका	taluka
कर्‍हाड,	Karhad,
जिल्हा	zilla
सातारा	Satara
</s>	</s>
त्यामुळे	tyamule
मंदिराचे	mandirache
खूप	khup
नुकसान	nuksaan
झाले	zaale
आहे.	ahe.
</s>	</s>
या	yaa
फळांमध्ये	falanmadhye
चपट्या,	chaptya,
गोलाकार,	golakar,
अर्ध्या	ardhya
ते	te
एक	ek
ग्रॅम	gram
वजनाच्या	vajnachya
एक	ek
ते	te
दोन	don
बिया	biyaa
असतात.	astat.
</s>	</s>
इट्रुस्कन	Itruskan
राजे	raaje
हे	he
ज्यूपिटरचे	Jupitarche
प्रतिनिधी	pratinidhi
समजले	samajle
जात.	jaat.
</s>	</s>
हा	ha
गळ्यामध्ये	galyamadhye
घालण्याचा	ghalnyacha
दागिना	daagina
आहे.	ahe.
</s>	</s>
माहितीसाठी	mahitisathi
वाचन	vachan
</s>	</s>
सर्वाधिक	sarvadhik
क्रिकेट	cricket
मैदानांवर	maidananvar
खेळाचा	khelacha
विक्रम:	vikram:
सचिन	Sachin
आत्तापर्यंत	aataparyanta
५२	52
मैदानांवर	maidananvar
कसोटी	kasoti
क्रिकेट	cricket
खेळलेला	khellela
आहे.	ahe.
</s>	</s>
राजगीर	Rajgir
हेच	hech
२४	24
वे	ve
तीर्थंकर	tirthanker
महावीर	Mahaveer
यांचे	yanche
पहिले	pahile
देशना	deshna
स्थळ	sthal
(जेथे	(jethe
उपदेश	upadesh
केला	kela
ती	ti
जागा)सुद्धा	jaaga)sudha
आहे.	ahe.
</s>	</s>
यात	yaat
बालवयातील	balvayatil
मुलांसहित	mulansahit
ते	te
अगदी	agdii
७३	73
वर्षांपर्यंतच्या	varshaparyantchya
सभासदांचा	sabhasadancha
देखील	dekhil
समावेश	samavesh
होता.	hota.
</s>	</s>
तसेच	tasech
कंपनी	company
‘निम्राना	'Nimrana
म्युझिक	Music
फौंडेशन’	Foundation'
पण	pan
चालविते.	chalvite.
</s>	</s>
आनंद	Anand
कर्वे	Karve
हे	he
ॲश्डेन	Ashden
पारितोषिक	paritoshik
विजेते	vijete
शास्त्रज्ञ	shastradnya
आहेत.	ahet.
</s>	</s>
संस्कृत	sanskrit
भाषेवर	bhashevar
अतिशय	atishay
प्रेम,	prem,
त्यामुळे	tyamule
बी.	B
</s>	</s>
यालाच	yalach
इंग्रजीत	ingrajeet
ऱ्हुमॅटिझम	rheumatism
म्हणतात.	mhantat.
</s>	</s>
त्यांच्यासोबत	tyanchyasobat
आलेले	aalele
गवळी	Gawli
वाशीम	Washim
जिल्ह्यातीलच	zillyatilach
वाघळूद	Waghlud
आणि	ani
अमानी	Amani
या	yaa
गावांमध्ये	gavanmadhye
स्थायिक	sthayik
झाले,	zaale,
असे	ase
भाटांकडे	Bhatankade
लिहून	lihun
आहे.	ahe.
</s>	</s>
सन	san
१९६०	1960
ते	te
१९८०	1980
या	yaa
कालावधीत	kalavadhit
काशीनाथ	Kashinath
हा	ha
मराठी	Marathi
नाट्य-चित्रसृष्टीचा	natya-chitrashrushticha
पहिला	pahila
सुपरस्टार	superstar
होता,	hota,
आणि	ani
त्याकाळात	tyakalat
तो	to
सर्वात	sarvat
मोठा	motha
पेड	paid
स्टार	star
होता.	hota.
</s>	</s>
कष्टमय	kashtamay
जीवन	jeevan
जगायचे.	jagayche.
</s>	</s>
त्या	tya
अंगठया	angthya
आतील	aatil
बाजूने	bajune
एका	eka
धातूपट्टीने	dhatupattine
जोडलेल्या	jodlelya
असून	asun
त्यावर	tyavar
तीक्ष्ण	tikshna
नखे	nakhe
लावलेली	lavleli
असतात.	astat.
</s>	</s>
त्यांनी	tyani
वयाच्या	vayachya
अकराव्या	akravya
वर्षी	varshi
सर्कसमधे	circusmadhe
काम	kaam
करण्यास	karnyas
सुरूवात	suruvaat
केली	keli
होती.	hoti.
</s>	</s>
बाबासाहेब	Babasaheb
आंबेडकरांनी	Ambedkaranni
१९२०	1920
ते	te
१९३६	1936
या	yaa
कालावधीत	kalavadhit
केलेल्या	kelelya
काही	kahi
निवडक	nivdak
भाषणांचा	bhashanancha
संग्रह	sangraha
विजय	Vijay
सुरवडे	Survade
यांनी	yanni
संपादित	sampadit
केला	kela
आहे.	ahe.
</s>	</s>
मार्टिन	Martin
यष्टिरक्षक	yashtirakshak
आहे.	ahe.
</s>	</s>
ह्यांत	hyat
पांढरा	pandhra
माका	maka
आणि	ani
पिवळा	pivla
माका	maka
अशा	asha
दोन	don
जाती	jaati
आहेत.	ahet.
</s>	</s>
या	yaa
अवतारामध्ये	avataramadhye
भगवान	Bhagwan
विष्णूंनी	Vishnuni
माशाचे	mashache
रूप	rup
घेतले	ghetle
होते.	hote.
</s>	</s>
अशा	asha
प्रकारे	prakare
आश्रमात	ashramat
शिजवलेल्या	shijavlelya
अन्नाच्या	annachya
खर्चावर	kharchavar
नियंत्रण	niyantran
ठेवले	thevle
जाते.	jaate.
</s>	</s>
माहेराला	maherala
जायचे	jayche
म्हणून	mhanun
सकाळपासून	sakalpasun
राबतोय.	raabtoy.
</s>	</s>
ग्रीक	Greek
भाषा	bhasha
लिहिण्याकरिता	lihinyakarita
ह्या	hya
वर्णमालेचा	varnamalecha
वापर	vapar
इ.	i.
</s>	</s>
चांगदेव	Changdev
हे	he
योगमार्गातील	yogmargatil
अधिकारी	adhikari
पुरुष	purush
होते.	hote
</s>	</s>
शोरमा	Shorma
किंवा	kivva
शॉर्‌मा	Shaurma
दुबईत	Dubait
प्रचलित	prachalit
असलेला	aslela
एक	ek
लेबनीज	Lebanese
खाद्यपदार्थ	khadyapadartha
आहे.	ahe.
</s>	</s>
हे	he
पंचतारांकित	panchatarankit
हॉटेल	hotel
राष्ट्रीय	rashtriya
व	va
आंतरराष्ट्रीय	antarrashtriya
सर्व	sarva
पद्दतीचे	paddhatiche
उत्कृष्ट	utkrushtha
खाध्य	khadya
पदार्थ	padartha
पुरविते.	puravte.
</s>	</s>
१९२०	1920
व	va
१९३०	1930
च्या	chya
दशकांदरम्यान	dashakandarmyan
सोव्हियेत	Soviet
संघ	sangha
काळात	kalat
ताश्कंदचे	Tashkandche
मोठ्या	mothya
प्रमाणावर	pramanavar
औद्योगिकरण	audyogikaran
करण्यात	karnyat
आले.	aale.
</s>	</s>
गांधी	Gandhi
पर्व	parva
१	1
(दोन	(don
खंड,	khanda,
गॊविंद	Govind
तळवलकर)	Talwalkar)
</s>	</s>
हे	he
शहर	shahar
सिहोर	Sihor
जिल्ह्याचे	zillyache
प्रशासकीय	prashaskiya
केंद्र	kendra
आहे.	ahe.
</s>	</s>
११)	11)
लिंगायत	Lingayat
हे	he
कायकाकवे	kaykakve
कैलास	Kailas
या	yaa
स्वयंपूर्णतेचा	swayampurnatecha
संदेश	sandesh
देणारे	denare
एक	ek
अर्थशास्त्र	arthashastra
आहे.	ahe.
</s>	</s>
बुरुजावरुन	burujavarun
तटबंदीच्या	tatbandichya
बाजूने	bajune
चालत	chalat
जातांना	jatanna
ही	he
तटबंदी	tatbandi
अनेक	anek
ठिकाणी	thikani
तुटलेली	tutleli
दिसते.	diste.
</s>	</s>
जडाचे	jadache
चिंतन	chintan
करणारे	karnare
मन	mann
जड	jud
बनते,	bante,
स्त्रीचे	streeche
चिंतन	chintan
करणारे	karnare
मन	mann
स्त्रैण	straiin
बनते.	bante.
</s>	</s>
मत्स्य	matsya
पुराणामध्ये	puranamadhye
भगवान	bhagwan
विष्णूंच्या	Vishnunchya
मत्स्य	matsya
अवतार	avatar
याबाबत	yababat
कथा	katha
आहेत.	ahet.
</s>	</s>
दंडधार	Dandadhaar
हा	haa
महाभारतातील	Mahabharatatil
हस्तिनापुराचा	Hastinapuracha
राजा	raja
धृतराष्ट्र	Dhritrashtra
व	va
राणी	raani
गांधारी	Gandhari
यांचा	yancha
पुत्र	putra
व	va
शंभर	shambhar
कौरव	kaurav
भावंडांपैकी	bhavandanpaikii
एक	ek
भाऊ	bhau
होता.	hota.
</s>	</s>
या	yaa
मठांतर्गत	mathantargat
दिक्षा	diksha
प्राप्त	prapta
करणाऱ्या	karnarya
संन्याश्याच्या	sanyashyachya
नावाअखेरीस	navaakheris
सरस्वती/भारती/पुरी	Saraswati/Bharti/Puri
संप्रदाय	sampraday
असे	ase
नाव	naav
जोडले	jodle
जाते.	jaate.
